Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,4288623,"Sas Pav","2026-06-01 17:27:34",1.00000,66,saspav
2,15545248,"RITTWIK BHOWMICK","2026-04-03 08:49:27",1.00000,3,rittwikbhowmick
3,14136613,HongchenDai,"2026-05-09 01:15:35",1.00000,24,hongchendai
4,12801551,Veniamin_Nelin,"2026-06-02 04:11:10",1.00000,339,veniaminnelin
5,15558257,"G karthik koundinya","2026-04-05 08:16:37",1.00000,10,gkarthikkoundinya
6,12408744,n3onnhowever,"2026-06-01 11:18:49",1.00000,39,n3onnhowever
7,15554817,"Lennard huang","2026-04-12 12:53:33",1.00000,12,lennardhuang
8,14949821,D1467578吳艾庭,"2026-04-06 07:24:32",1.00000,1,d1467578
9,15587228,dshi261,"2026-04-10 00:52:56",1.00000,4,dshi261
10,6793754,Jingjing127,"2026-04-14 00:37:05",1.00000,4,jingjing127
11,15604810,"Juan Martin Montiel","2026-04-12 20:23:21",1.00000,3,juanmartinmontiel
12,15605234,"Yifei Zhu","2026-04-12 22:41:29",1.00000,3,yifeizhu97
13,15605389,"Yuefei Chloe Chen","2026-04-12 23:43:15",1.00000,3,yuefeichloechen
14,15605488,"Maulik Limbadiya","2026-04-13 00:20:02",1.00000,3,mauliklimbadiya
15,15606220,ThatDuuuck,"2026-04-13 03:37:24",1.00000,1,thatduuuck
16,15606488,"Junying Lu(IS5213)","2026-04-13 04:19:54",1.00000,3,junyingluis5213
17,6650930,"YangLi #2","2026-04-13 09:03:24",1.00000,3,zjzsliyang
18,15609245,"Kaveri Gunduboyina","2026-04-13 13:23:54",1.00000,3,kaverigunduboyina24
19,15610801,"Aditya Dewasthale","2026-04-13 18:02:04",1.00000,3,adityadewasthale
20,15610922,"Bhawesh Kathuria","2026-04-13 18:25:15",1.00000,3,bhaweshkathuria
21,15610981,"Angle Wu","2026-04-13 18:43:15",1.00000,4,anglewu
22,15611087,"Mu Kao Chen","2026-04-13 19:08:12",1.00000,3,mukaochen
23,15611211,Megan_Chen_235,"2026-04-13 19:44:38",1.00000,3,meganchen235
